country,importOrExport,year,weapons_Type,units,value,smallArmsOnly
Papua New Guinea,Export,1975,Parts of Non-Military Firearms (89433),,1006,Yes
Poland,Export,1975,Parts of Non-Military Firearms (89433),,26130,Yes
Singapore,Export,1975,Parts of Non-Military Firearms (89433),,623,Yes
South Africa,Export,1975,Parts of Non-Military Firearms (89433),,57701,Yes
Spain,Export,1975,Parts of Non-Military Firearms (89433),,4370,Yes
St. Kitts-Nevis,Export,1975,Parts of Non-Military Firearms (89433),,599,Yes
Sweden,Export,1975,Parts of Non-Military Firearms (89433),,90145,Yes
Switzerland,Export,1975,Parts of Non-Military Firearms (89433),,11144,Yes
Switzerland,Export,1975,Parts of Non-Military Firearms (89433),,1784,Yes
Thailand,Export,1975,Parts of Non-Military Firearms (89433),,115117,Yes
United Arab Emirates,Export,1975,Parts of Non-Military Firearms (89433),,2627,Yes
United Kingdom,Export,1975,Parts of Non-Military Firearms (89433),,130264,Yes
United Kingdom,Export,1975,Parts of Non-Military Firearms (89433),,7000,Yes
Unspecified Country,Export,1975,Military Weapons (95102),,103981306,No
Unspecified Country,Export,1975,Military Weapons (95102),,244585,No
Unspecified Country,Export,1975,Side Arms and Parts (95104),,458193,No
Unspecified Country,Export,1975,Side Arms and Parts (95104),,87621,No
Unspecified Country,Export,1975,Parts of Military Ordinance (95103),,44822476,No
Unspecified Country,Export,1975,Parts of Military Ordinance (95103),,16598,No
Unspecified Country,Export,1975,Bombs; Missiles; and Ammunition (95106),,696591127,No
Unspecified Country,Export,1975,Bombs; Missiles; and Ammunition (95106),,47759,No
Unspecified Country,Export,1975,Revolvers and Pistols (95105),228180,18605437,Yes
Unspecified Country,Export,1975,Revolvers and Pistols (95105),3401,320967,Yes
Venezuela,Export,1975,Parts of Non-Military Firearms (89433),,1059,Yes
Zambia,Export,1975,Parts of Non-Military Firearms (89433),,3000,Yes
Algeria,Export,1979,Bombs; Missiles; and Ammunition (95106),,1285,No
All Countries,Export,1979,Non-Military Firearms (89461),,33465070,Yes
All Countries,Export,1979,Non-Military Firearms (89461),,1954052,Yes
